X,CH1,
Second,Volt,
-7.63720e-02,2.48e+01,
-7.61720e-02,1.12e+01,
-7.59720e-02,2.48e+01,
-7.57720e-02,1.20e+01,
-7.55720e-02,1.20e+01,
-7.53720e-02,0.00e+00,
-7.51720e-02,0.00e+00,
-7.49720e-02,1.28e+01,
-7.47720e-02,1.20e+01,
-7.45720e-02,0.00e+00,
-7.43720e-02,0.00e+00,
-7.41720e-02,-1.28e+01,
-7.39720e-02,8.00e-01,
-7.37720e-02,-1.28e+01,
-7.35720e-02,-1.20e+01,
-7.33720e-02,0.00e+00,
-7.31720e-02,-2.56e+01,
-7.29720e-02,-8.00e+00,
-7.27720e-02,-1.12e+01,
-7.25720e-02,-2.40e+01,
-7.23720e-02,-2.48e+01,
-7.21720e-02,-1.04e+01,
-7.19720e-02,-2.40e+01,
-7.17720e-02,-3.60e+01,
-7.15720e-02,-3.68e+01,
-7.13720e-02,-1.84e+01,
-7.11720e-02,-2.24e+01,
-7.09720e-02,-3.84e+01,
-7.07720e-02,-3.60e+01,
-7.05720e-02,-1.92e+01,
-7.03720e-02,-2.24e+01,
-7.01720e-02,-3.68e+01,
-6.99720e-02,-2.40e+01,
-6.97720e-02,-3.92e+01,
-6.95720e-02,-3.68e+01,
-6.93720e-02,-2.24e+01,
-6.91720e-02,-2.24e+01,
-6.89720e-02,-3.76e+01,
-6.87720e-02,-2.24e+01,
-6.85720e-02,-3.68e+01,
-6.83720e-02,-3.68e+01,
-6.81720e-02,-2.24e+01,
-6.79720e-02,-2.32e+01,
-6.77720e-02,-3.68e+01,
-6.75720e-02,-3.68e+01,
-6.73720e-02,-2.16e+01,
-6.71720e-02,-3.76e+01,
-6.69720e-02,-2.24e+01,
-6.67720e-02,-2.40e+01,
-6.65720e-02,-2.24e+01,
-6.63720e-02,-2.64e+01,
-6.61720e-02,-8.80e+00,
-6.59720e-02,-1.12e+01,
-6.57720e-02,-2.72e+01,
-6.55720e-02,0.00e+00,
-6.53720e-02,-1.20e+01,
-6.51720e-02,-1.12e+01,
-6.49720e-02,8.00e-01,
-6.47720e-02,-1.28e+01,
-6.45720e-02,8.00e-01,
-6.43720e-02,0.00e+00,
-6.41720e-02,1.36e+01,
-6.39720e-02,0.00e+00,
-6.37720e-02,1.28e+01,
-6.35720e-02,1.36e+01,
-6.33720e-02,0.00e+00,
-6.31720e-02,1.20e+01,
-6.29720e-02,2.96e+01,
-6.27720e-02,1.20e+01,
-6.25720e-02,2.64e+01,
-6.23720e-02,9.60e+00,
-6.21720e-02,2.64e+01,
-6.19720e-02,2.16e+01,
-6.17720e-02,2.56e+01,
-6.15720e-02,3.84e+01,
-6.13720e-02,1.68e+01,
-6.11720e-02,4.48e+01,
-6.09720e-02,2.16e+01,
-6.07720e-02,2.32e+01,
-6.05720e-02,3.76e+01,
-6.03720e-02,2.16e+01,
-6.01720e-02,4.48e+01,
-5.99720e-02,3.76e+01,
-5.97720e-02,2.24e+01,
-5.95720e-02,3.12e+01,
-5.93720e-02,4.00e+01,
-5.91720e-02,2.32e+01,
-5.89720e-02,3.84e+01,
-5.87720e-02,2.64e+01,
-5.85720e-02,3.84e+01,
-5.83720e-02,3.76e+01,
-5.81720e-02,2.32e+01,
-5.79720e-02,3.68e+01,
-5.77720e-02,2.40e+01,
-5.75720e-02,3.76e+01,
-5.73720e-02,2.24e+01,
-5.71720e-02,2.40e+01,
-5.69720e-02,3.68e+01,
-5.67720e-02,2.48e+01,
-5.65720e-02,1.20e+01,
-5.63720e-02,2.48e+01,
-5.61720e-02,9.60e+00,
-5.59720e-02,1.12e+01,
-5.57720e-02,2.48e+01,
-5.55720e-02,1.28e+01,
-5.53720e-02,0.00e+00,
-5.51720e-02,1.20e+01,
-5.49720e-02,0.00e+00,
-5.47720e-02,0.00e+00,
-5.45720e-02,2.16e+01,
-5.43720e-02,0.00e+00,
-5.41720e-02,-1.60e+01,
-5.39720e-02,3.20e+00,
-5.37720e-02,-2.24e+01,
