X,CH1,
Second,Volt,
-6.40930e-02,-3.28e+01,
-6.38930e-02,-3.20e+01,
-6.36930e-02,-3.20e+01,
-6.34930e-02,-3.04e+01,
-6.32930e-02,-3.12e+01,
-6.30930e-02,-2.88e+01,
-6.28930e-02,-2.80e+01,
-6.26930e-02,-2.48e+01,
-6.24930e-02,-2.56e+01,
-6.22930e-02,-2.24e+01,
-6.20930e-02,-2.24e+01,
-6.18930e-02,-1.92e+01,
-6.16930e-02,-1.92e+01,
-6.14930e-02,-1.44e+01,
-6.12930e-02,-1.44e+01,
-6.10930e-02,-1.12e+01,
-6.08930e-02,-1.12e+01,
-6.06930e-02,-6.40e+00,
-6.04930e-02,-6.40e+00,
-6.02930e-02,-2.40e+00,
-6.00930e-02,-1.60e+00,
-5.98930e-02,8.00e-01,
-5.96930e-02,8.00e-01,
-5.94930e-02,5.60e+00,
-5.92930e-02,5.60e+00,
-5.90930e-02,9.60e+00,
-5.88930e-02,9.60e+00,
-5.86930e-02,1.52e+01,
-5.84930e-02,1.44e+01,
-5.82930e-02,1.84e+01,
-5.80930e-02,2.32e+01,
-5.78930e-02,1.84e+01,
-5.76930e-02,2.08e+01,
-5.74930e-02,2.48e+01,
-5.72930e-02,2.48e+01,
-5.70930e-02,2.72e+01,
-5.68930e-02,2.72e+01,
-5.66930e-02,2.96e+01,
-5.64930e-02,2.96e+01,
-5.62930e-02,3.20e+01,
-5.60930e-02,3.20e+01,
-5.58930e-02,3.36e+01,
-5.56930e-02,3.36e+01,
-5.54930e-02,3.44e+01,
-5.52930e-02,3.44e+01,
-5.50930e-02,3.60e+01,
-5.48930e-02,3.52e+01,
-5.46930e-02,3.44e+01,
-5.44930e-02,3.52e+01,
-5.42930e-02,3.28e+01,
-5.40930e-02,3.44e+01,
-5.38930e-02,3.28e+01,
-5.36930e-02,3.28e+01,
-5.34930e-02,3.12e+01,
-5.32930e-02,3.20e+01,
-5.30930e-02,2.88e+01,
-5.28930e-02,2.96e+01,
-5.26930e-02,2.64e+01,
-5.24930e-02,2.56e+01,
-5.22930e-02,2.32e+01,
-5.20930e-02,2.32e+01,
-5.18930e-02,1.92e+01,
-5.16930e-02,1.92e+01,
-5.14930e-02,1.60e+01,
-5.12930e-02,1.52e+01,
-5.10930e-02,1.20e+01,
-5.08930e-02,1.12e+01,
-5.06930e-02,7.20e+00,
-5.04930e-02,6.40e+00,
-5.02930e-02,2.40e+00,
-5.00930e-02,4.00e+00,
-4.98930e-02,0.00e+00,
-4.96930e-02,0.00e+00,
-4.94930e-02,-4.80e+00,
